"a","b","abs_diff","mean_ab","response"
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
0.286900326,0.132128062,0.154772264,0.209514194,1
