"a","b","abs_diff","mean_ab","response"
1,2,1,1.5,1
2,1.1,0.9,1.55,0
1.1,2.1,1,1.6,1
2,1.1,0.9,1.55,1
2.1,1,1.1,1.55,1
2.1,1.1,1,1.6,1
2,1.1,0.9,1.55,1
1,2,1,1.5,1
1.1,2.1,1,1.6,1
1,2,1,1.5,1
2,1.1,0.9,1.55,1
1.7,1.4,0.3,1.55,1
1.7,1.4,0.3,1.55,1
1.7,1.4,0.3,1.55,1
1.4,1.6,0.2,1.5,1
1.4,1.7,0.3,1.55,0
1.5,1.6,0.1,1.55,0
1.5,1.7,0.2,1.6,1
1.6,1.4,0.2,1.5,0
1.5,1.7,0.2,1.6,1
1.5,1.6,0.1,1.55,0
1.7,1.4,0.3,1.55,1
1.7,1.4,0.3,1.55,1
1.5,1.6,0.1,1.55,0
1.6,1.4,0.2,1.5,1
2,1.1,0.9,1.55,1
1.1,2,0.9,1.55,1
2.1,1.1,1,1.6,1
2,1.1,0.9,1.55,1
2.1,1.1,1,1.6,1
2.1,1,1.1,1.55,1
1,2.1,1.1,1.55,1
1,2,1,1.5,1
1,2,1,1.5,1
2.1,1,1.1,1.55,1
1.4,1.6,0.2,1.5,1
1.4,1.7,0.3,1.55,1
1.6,1.5,0.1,1.55,0
1.5,1.6,0.1,1.55,0
1.4,1.4,0,1.4,1
1.7,1.4,0.3,1.55,1
1.4,1.7,0.3,1.55,1
1.6,1.5,0.1,1.55,1
1.4,1.6,0.2,1.5,1
2,1,1,1.5,1
1.1,2.1,1,1.6,1
2,1.1,0.9,1.55,1
1,2.1,1.1,1.55,1
2,1.1,0.9,1.55,1
2,1.1,0.9,1.55,1
1.1,2.1,1,1.6,1
1,2.1,1.1,1.55,1
2,1.1,0.9,1.55,1
2.1,1,1.1,1.55,1
1.1,2,0.9,1.55,1
2.1,1,1.1,1.55,1
2,1.1,0.9,1.55,1
2,1.1,0.9,1.55,1
1.1,2.1,1,1.6,1
1.1,2,0.9,1.55,1
2.1,1,1.1,1.55,1
1,2.1,1.1,1.55,1
1.1,2.1,1,1.6,1
1.1,2,0.9,1.55,1
1.5,1.7,0.2,1.6,0
1.4,1.6,0.2,1.5,1
1.5,1.7,0.2,1.6,1
3.8,1.5,2.3,2.65,0
1.6,1.4,0.2,1.5,1
1.4,1.7,0.3,1.55,0
1.5,1.7,0.2,1.6,1
1.4,1.6,0.2,1.5,0
1.5,1.7,0.2,1.6,0
1.5,1.6,0.1,1.55,1
1.5,1.6,0.1,1.55,0
1.6,1.4,0.2,1.5,1
1.5,1.6,0.1,1.55,0
1.6,1.5,0.1,1.55,1
1.5,1.6,0.1,1.55,0
1.1,2,0.9,1.55,1
2,1.1,0.9,1.55,1
2,1.1,0.9,1.55,1
1.1,2,0.9,1.55,1
1,2,1,1.5,1
2.1,1,1.1,1.55,1
1.4,1.7,0.3,1.55,0
1.5,1.6,0.1,1.55,0
1.4,1.6,0.2,1.5,0
1.7,1.4,0.3,1.55,1
1.7,1.5,0.2,1.6,0
1.5,1.7,0.2,1.6,1
1.7,1.5,0.2,1.6,1
1.5,1.6,0.1,1.55,0
1.4,1.7,0.3,1.55,1
1.5,1.6,0.1,1.55,1
2,1.1,0.9,1.55,1
1.1,2,0.9,1.55,1
2.1,1.1,1,1.6,1
1.1,2.1,1,1.6,1
1.1,2.1,1,1.6,0
1,2,1,1.5,1
1.1,2.1,1,1.6,1
2,1,1,1.5,0
2,1.2,0.8,1.6,1
2,1.1,0.9,1.55,1
