ID,Leading_spkr,Leading,Lagging,AbsDiff,PercDiff,Choice,Response,Trial_order
Hch-315-19,2,20,24,4,20,Lag,Y,5
Hch-317-19,2,20,24,4,20,Lead,Y,3
Hch-318-19,2,20,24,4,20,Lag,Y,6
Hch-319-19,2,20,24,4,20,Lag,Y,4
Hch-320-19,2,20,24,4,20,Lag,Y,10
Hch-348-19,2,20,24,4,20,Lag,Y,12
Hch-349-19,2,20,24,4,20,Lag,Y,3
Hch-350-19,2,20,24,4,20,Lead,Y,12
Hch-351-19,2,20,24,4,20,Lag,Y,5
Hch-352-19,2,20,24,4,20,Lag,Y,11
Hch-353-19,2,20,24,4,20,Lead,Y,6
Hch-360-19,2,20,24,4,20,Lag,Y,12
Hch-364-19,2,20,24,4,20,Lead,Y,13
Hch-365-19,2,20,24,4,20,Lag,Y,1
Hch-085-19,1,20,30,10,50,NA,N,9
Hch-094-19,1,20,30,10,50,Lead,Y,2
Hch-096-19,1,20,30,10,50,Lag,Y,13
Hch-097-19,1,20,30,10,50,Lead,Y,3
Hch-098-19,1,20,30,10,50,Lag,Y,5
Hch-099-19,1,20,30,10,50,Lag,Y,12
Hch-100-19,1,20,30,10,50,Lag,Y,14
Hch-102-19,1,20,30,10,50,Lead,Y,9
Hch-103-19,1,20,30,10,50,Lag,Y,1
Hch-127-19,2,20,30,10,50,Lag,Y,13
Hch-128-19,2,20,30,10,50,Lag,Y,14
Hch-129-19,2,20,30,10,50,Lag,Y,1
Hch-130-19,2,20,30,10,50,Lag,Y,13
Hch-131-19,2,20,30,10,50,Lag,Y,3
Hch-132-19,2,20,30,10,50,Lead,Y,9
Hch-134-19,2,20,30,10,50,Lag,Y,4
Hch-135-19,2,20,30,10,50,Lag,Y,4
Hch-149-19,1,20,30,10,50,Lag,Y,13
Hch-150-19,1,20,30,10,50,Lag,Y,2
Hch-151-19,1,20,30,10,50,Lag,Y,15
Hch-152-19,1,20,30,10,50,Lag,Y,11
Hch-153-19,1,20,30,10,50,Lag,Y,5
Hch-155-19,1,20,30,10,50,Lead,Y,10
Hch-156-19,1,20,30,10,50,Lead,Y,4
Hch-157-19,1,20,30,10,50,Lag,Y,12
Hch-176-19,2,20,30,10,50,Lag,Y,5
Hch-179-19,2,20,30,10,50,Lag,Y,1
Hch-180-19,2,20,30,10,50,Lag,Y,7
Hch-181-19,2,20,30,10,50,Lag,Y,10
Hch-203-19,1,20,30,10,50,Lag,Y,15
Hch-204-19,1,20,30,10,50,Lag,Y,4
Hch-205-19,1,20,30,10,50,Lead,Y,11
Hch-206-19,1,20,30,10,50,Lag,Y,14
Hch-207-19,1,20,30,10,50,Lag,Y,10
Hch-208-19,1,20,30,10,50,Lag,Y,4
Hch-245-19,2,20,30,10,50,Lag,Y,11
Hch-246-19,2,20,30,10,50,NA,N,12
Hch-247-19,2,20,30,10,50,Lag,Y,15
Hch-249-19,2,20,30,10,50,Lag,Y,2
Hch-259-19,1,20,30,10,50,Lag,Y,1
Hch-278-19,1,20,30,10,50,Lag,Y,4
Hch-279-19,1,20,30,10,50,Lag,Y,11
Hch-280-19,1,20,30,10,50,Lag,Y,1
Hch-281-19,1,20,30,10,50,Lead,Y,11
Hch-282-19,1,20,30,10,50,NA,N,14
Hch-284-19,1,20,30,10,50,Lag,Y,7
Hch-314-19,2,20,30,10,50,Lag,Y,1
Hch-315-19,2,20,30,10,50,Lag,Y,10
Hch-317-19,2,20,30,10,50,Lag,Y,9
Hch-318-19,2,20,30,10,50,Lead,Y,14
Hch-319-19,2,20,30,10,50,Lag,Y,14
Hch-320-19,2,20,30,10,50,Lag,Y,14
Hch-348-19,2,20,30,10,50,Lag,Y,1
Hch-349-19,2,20,30,10,50,Lag,Y,10
Hch-350-19,2,20,30,10,50,Lag,Y,5
Hch-351-19,2,20,30,10,50,Lag,Y,11
Hch-352-19,2,20,30,10,50,Lag,Y,10
Hch-353-19,2,20,30,10,50,Lag,Y,1
Hch-360-19,2,20,30,10,50,Lag,Y,5
Hch-364-19,2,20,30,10,50,Lag,Y,10
Hch-083-19,1,30,33,3,10,Lag,Y,4
Hch-085-19,1,30,33,3,10,Lag,Y,3
Hch-087-19,1,30,33,3,10,Lag,Y,4
Hch-094-19,1,30,33,3,10,Lag,Y,6
Hch-096-19,1,30,33,3,10,Lag,Y,2
Hch-097-19,1,30,33,3,10,Lag,Y,13
Hch-098-19,1,30,33,3,10,Lead,Y,9
Hch-099-19,1,30,33,3,10,Lag,Y,10
Hch-100-19,1,30,33,3,10,Lag,Y,10
Hch-101-19,1,30,33,3,10,Lead,Y,2
Hch-127-19,2,30,33,3,10,Lag,Y,2
Hch-128-19,2,30,33,3,10,Lag,Y,6
Hch-130-19,2,30,33,3,10,Lag,Y,4
Hch-131-19,2,30,33,3,10,Lead,Y,14
Hch-132-19,2,30,33,3,10,Lag,Y,13
Hch-133-19,2,30,33,3,10,Lead,Y,6
Hch-134-19,2,30,33,3,10,Lag,Y,8
Hch-135-19,2,30,33,3,10,Lag,Y,13
Hch-149-19,1,30,33,3,10,Lead,Y,1
Hch-150-19,1,30,33,3,10,Lead,Y,13
Hch-151-19,1,30,33,3,10,Lead,Y,5
Hch-152-19,1,30,33,3,10,Lead,Y,9
Hch-153-19,1,30,33,3,10,Lead,Y,6
Hch-154-19,1,30,33,3,10,Lag,Y,4
Hch-155-19,1,30,33,3,10,Lag,Y,12
Hch-156-19,1,30,33,3,10,Lead,Y,12
Hch-157-19,1,30,33,3,10,Lag,Y,6
Hch-176-19,2,30,33,3,10,Lead,Y,9
Hch-179-19,2,30,33,3,10,Lead,Y,9
Hch-181-19,2,30,33,3,10,Lead,Y,3
Hch-182-19,2,30,33,3,10,Lead,Y,6
Hch-203-19,1,30,33,3,10,Lag,Y,6
Hch-204-19,1,30,33,3,10,Lag,Y,7
Hch-205-19,1,30,33,3,10,Lag,Y,3
Hch-206-19,1,30,33,3,10,Lag,Y,9
Hch-208-19,1,30,33,3,10,Lag,Y,13
Hch-245-19,2,30,33,3,10,Lead,Y,3
Hch-246-19,2,30,33,3,10,Lag,Y,6
Hch-247-19,2,30,33,3,10,Lead,Y,6
Hch-248-19,2,30,33,3,10,Lag,Y,4
Hch-260-19,1,30,33,3,10,Lead,Y,1
Hch-261-19,1,30,33,3,10,Lag,Y,4
Hch-278-19,1,30,33,3,10,Lead,Y,7
Hch-279-19,1,30,33,3,10,Lag,Y,4
Hch-280-19,1,30,33,3,10,Lag,Y,9
Hch-281-19,1,30,33,3,10,Lag,Y,1
Hch-282-19,1,30,33,3,10,Lag,Y,7
Hch-284-19,1,30,33,3,10,Lag,Y,13
Hch-314-19,2,30,33,3,10,Lead,Y,7
Hch-315-19,2,30,33,3,10,Lead,Y,13
Hch-317-19,2,30,33,3,10,Lag,Y,11
Hch-318-19,2,30,33,3,10,Lag,Y,3
Hch-319-19,2,30,33,3,10,Lead,Y,8
Hch-320-19,2,30,33,3,10,Lead,Y,1
Hch-348-19,2,30,33,3,10,Lag,Y,7
Hch-349-19,2,30,33,3,10,Lag,Y,12
Hch-350-19,2,30,33,3,10,Lead,Y,9
Hch-351-19,2,30,33,3,10,Lag,Y,6
Hch-352-19,2,30,33,3,10,Lag,Y,4
Hch-353-19,2,30,33,3,10,NA,N,13
Hch-360-19,2,30,33,3,10,Lead,Y,8
Hch-364-19,2,30,33,3,10,Lead,Y,4
Hch-087-19,1,30,36,6,20,Lead,Y,10
Hch-094-19,1,30,36,6,20,Lag,Y,12
Hch-096-19,1,30,36,6,20,Lead,Y,6
Hch-097-19,1,30,36,6,20,Lag,Y,9
Hch-098-19,1,30,36,6,20,Lag,Y,14
Hch-099-19,1,30,36,6,20,Lead,Y,5
Hch-100-19,1,30,36,6,20,Lag,Y,5
Hch-101-19,1,30,36,6,20,Lag,Y,6
Hch-102-19,1,30,36,6,20,Lag,Y,1
Hch-127-19,2,30,36,6,20,Lead,Y,10
Hch-128-19,2,30,36,6,20,NA,N,3
Hch-130-19,2,30,36,6,20,Lead,Y,6
Hch-131-19,2,30,36,6,20,Lag,Y,8
Hch-132-19,2,30,36,6,20,Lag,Y,3
Hch-133-19,2,30,36,6,20,Lag,Y,2
Hch-134-19,2,30,36,6,20,Lag,Y,15
Hch-135-19,2,30,36,6,20,Lag,Y,8
Hch-149-19,1,30,36,6,20,Lag,Y,9
Hch-150-19,1,30,36,6,20,Lead,Y,8
Hch-151-19,1,30,36,6,20,Lag,Y,6
Hch-152-19,1,30,36,6,20,Lead,Y,2
Hch-153-19,1,30,36,6,20,Lag,Y,13
Hch-154-19,1,30,36,6,20,Lag,Y,6
Hch-155-19,1,30,36,6,20,Lead,Y,4
Hch-156-19,1,30,36,6,20,Lead,Y,7
Hch-157-19,1,30,36,6,20,Lag,Y,1
Hch-176-19,2,30,36,6,20,Lead,Y,11
Hch-177-19,2,30,36,6,20,Lag,Y,3
Hch-180-19,2,30,36,6,20,Lag,Y,2
Hch-182-19,2,30,36,6,20,Lag,Y,1
Hch-203-19,1,30,36,6,20,Lead,Y,5
Hch-204-19,1,30,36,6,20,Lead,Y,13
Hch-205-19,1,30,36,6,20,Lead,Y,6
Hch-206-19,1,30,36,6,20,Lead,Y,4
Hch-207-19,1,30,36,6,20,Lag,Y,4
Hch-208-19,1,30,36,6,20,Lag,Y,8
Hch-245-19,2,30,36,6,20,Lead,Y,6
Hch-246-19,2,30,36,6,20,Lead,Y,1
Hch-247-19,2,30,36,6,20,Lag,Y,1
Hch-248-19,2,30,36,6,20,Lag,Y,10
Hch-249-19,2,30,36,6,20,Lead,Y,8
Hch-259-19,1,30,36,6,20,Lead,Y,8
Hch-260-19,1,30,36,6,20,Lead,Y,9
Hch-261-19,1,30,36,6,20,Lag,Y,6
Hch-279-19,1,30,36,6,20,Lead,Y,6
Hch-281-19,1,30,36,6,20,Lead,Y,10
Hch-282-19,1,30,36,6,20,Lag,Y,5
Hch-284-19,1,30,36,6,20,Lag,Y,2
Hch-314-19,2,30,36,6,20,Lag,Y,13
Hch-315-19,2,30,36,6,20,Lag,Y,1
Hch-317-19,2,30,36,6,20,Lag,Y,1
Hch-318-19,2,30,36,6,20,Lag,Y,10
